Location ID,Practice Name,extracted_postcode,display_address,lat,lon,geocode_precision,admin_district,City / Town,Region,ASM Name,Area,Nation
,LEVENMOUTH DENTAL SPA,KY8 4LA,"46 COMMERCIAL ROAD, LEVEN, KY8 4LA",56.196631,-2.999313,exact,Fife,,,,,Scotland
,DALZIEL DENTAL SURGERY,ML1 1PJ,"1 DALZIEL STREET, MOTHERWELL, ML1 1PJ",55.79249,-3.986351,exact,North Lanarkshire,,,,,Scotland
,WINDMILL DENTAL CARE,ML1 1RY,"79 WINDMILLHILL STREET, MOTHERWELL, ML1 1RY",55.785249,-3.982889,exact,North Lanarkshire,,,,,Scotland
,HAMILTON ROAD DENTAL PRACTICE,ML1 3DW,"168 HAMILTON ROAD, MOTHERWELL, ML1 3DW",55.787472,-4.001551,exact,North Lanarkshire,,,,,Scotland
,AVONSMILES DENTAL,ML10 6AF,"30 COMMON GREEN, STRATHAVEN, ML10 6AF",55.676817,-4.065965,exact,South Lanarkshire,,,,,Scotland
,STRATHAVEN DENTAL,ML10 6LE,"2 KIRK STREET, STRATHAVEN, ML10 6LE",55.676381,-4.064097,exact,South Lanarkshire,,,,,Scotland
,LESMAHAGOW DENTAL,ML11 0EW,"2 NEW TROWS ROAD, LESMAHAGOW, ML11 0EW",55.638052,-3.887751,exact,South Lanarkshire,,,,,Scotland
,WATERLOO DENTAL PRACTICE,ML11 7PZ,"28 WATERLOO ROAD, LANARK, ML11 7PZ",55.676988,-3.781671,exact,South Lanarkshire,,,,,Scotland
,KIRKMUIRHILL DENTAL,ML11 9QE,"14A THORNTON ROAD, KIRKMUIRHILL, ML11 9QE",55.666291,-3.919479,exact,South Lanarkshire,,,,,Scotland
,BIGGAR DENTAL PRACTICE,ML12 6DJ,"213 HIGH STREET, BIGGAR, ML12 6DJ",55.625629,-3.520061,exact,South Lanarkshire,,,,,Scotland
,WISHAW DENTAL CLINIC,ML2 7AF,"43 MAIN STREET, WISHAW, ML2 7AF",55.773911,-3.919858,exact,North Lanarkshire,,,,,Scotland
,BELHAVEN DENTAL PRACTICE,ML2 7LP,"HOULDSWORTH CENTRE,LEVEL 4, KENILWORTH AVE.,WISHAW, ML2 7LP",55.774969,-3.920564,exact,North Lanarkshire,,,,,Scotland
,ARTHUR DENTAL CARE,ML2 7NE,"207 MAIN STREET, WISHAW, ML2 7NE",55.775771,-3.924478,exact,North Lanarkshire,,,,,Scotland
,STEWARTON STREET DENTAL,ML2 8AA,"43 STEWARTON STREET, WISHAW, ML2 8AA",55.773028,-3.918284,exact,North Lanarkshire,,,,,Scotland
,NEWMAINS DENTAL CARE,ML2 9AX,"48 MANSE ROAD, NEWMAINS, ML2 9AX",55.783183,-3.878756,exact,North Lanarkshire,,,,,Scotland
,HYLAND DENTAL SURGERY,ML3 6PD,"6 PARK ROAD, HAMILTON, ML3 6PD",55.773769,-4.043448,exact,South Lanarkshire,,,,,Scotland
,NEW CROSS DENTAL CARE,ML3 7AU,"78 QUARRY STREET, HAMILTON, ML3 7AU",55.77531,-4.035031,exact,South Lanarkshire,,,,,Scotland
,M & P DENTAL CARE,ML3 7ES,"7 HIGH PATRICK STREET, HAMILTON, ML3 7ES",55.772356,-4.033825,exact,South Lanarkshire,,,,,Scotland
,BURNBANK ROAD DENTAL PRACTICE,ML3 9AL,"63 BURNBANK ROAD, HAMILTON, ML3 9AL",55.779391,-4.061427,exact,South Lanarkshire,,,,,Scotland
,NORTH ROAD DENTAL,ML4 1EN,"8 NORTH ROAD, BELLSHILL, ML4 1EN",55.819792,-4.024407,exact,North Lanarkshire,,,,,Scotland
,BLAIRHILL DENTAL PRACTICE,ML5 1PG,"1 BLAIRHILL STREET, COATBRIDGE, ML5 1PG",55.861344,-4.037674,exact,North Lanarkshire,,,,,Scotland
,BANK STREET DENTAL CARE,ML5 1ET,"169 BANK STREET, COATBRIDGE, ML5 1ET",55.859755,-4.03807,exact,North Lanarkshire,,,,,Scotland
,COATBRIDGE FAMILY DENTAL CARE,ML5 3AU,"22 ACADEMY STREET, COATBRIDGE, ML5 3AU",55.863208,-4.027672,exact,North Lanarkshire,,,,,Scotland
,ACADEMY DENTAL PRACTICE,ML5 3AW,"29 ACADEMY STREET, COATBRIDGE, ML5 3AW",55.86334,-4.028366,exact,North Lanarkshire,,,,,Scotland
,LAGAN DENTAL CARE,ML5 3LJ,"1A LAIRD STREET, COATBRIDGE, ML5 3LJ",55.864897,-4.020584,exact,North Lanarkshire,,,,,Scotland
,MARCUCCILLI DENTAL CARE,ML6 0AA,"26 ANDERSON STREET, AIRDRIE, ML6 0AA",55.866944,-3.982014,exact,North Lanarkshire,,,,,Scotland
,BROOMKNOLL DENTAL CARE,ML6 6BN,"12 BROOMKNOLL STREET, AIRDRIE, ML6 6BN",55.865426,-3.98085,exact,North Lanarkshire,,,,,Scotland
,F. DOLAN DENTAL,ML6 6JF,"2 SOUTH BRIDGE STREET, AIRDRIE, ML6 6JF",55.868113,-3.982553,exact,North Lanarkshire,,,,,Scotland
,CHAPELHALL DENTAL CARE,ML6 8SW,"102 LAUCHOPE STREET, AIRDRIE, ML6 8SW",55.843549,-3.948463,exact,North Lanarkshire,,,,,Scotland
,SHOTTS DENTAL PRACTICE,ML7 5ED,"1 BURNBRAE ROAD, SHOTTS, ML7 5ED",55.814558,-3.789391,exact,North Lanarkshire,,,,,Scotland
,THE TOOTH DOCTOR,ML8 4AD,"79 KIRKTON STREET, CARLUKE, ML8 4AD",55.732517,-3.839529,exact,South Lanarkshire,,,,,Scotland
,CROSSHOUSE DENTAL SURGERY,ML9 1AG,"4 LONDON STREET, LARKHALL, ML9 1AG",55.742526,-3.975571,exact,South Lanarkshire,,,,,Scotland
,MACHAN DENTAL,ML9 1HG,"18A MACHAN ROAD, LARKHALL, ML9 1HG",55.734042,-3.969998,exact,South Lanarkshire,,,,,Scotland
,DEE DENTAL PAISLEY,PA1 1BN,"5 COUNTY PLACE, PAISLEY, PA1 1BN",55.846411,-4.424353,exact,Renfrewshire,,,,,Scotland
,HAPPY SMILES PAISLEY,PA1 1UA,"6 ST MIRREN STREET, PAISLEY, PA1 1UA",55.844942,-4.423671,exact,Renfrewshire,,,,,Scotland
,MYDENTIST JOHNSTON STREET,PA1 1XQ,"1 JOHNSTON STREET, PAISLEY, PA1 1XQ",55.84252,-4.423424,exact,Renfrewshire,,,,,Scotland
,ABBEY DENTAL CARE,PA1 1YN,"47 CAUSEYSIDE STREET, PAISLEY, PA1 1YN",55.842027,-4.423825,exact,Renfrewshire,,,,,Scotland
,FINESSE DENTAL CARE,PA1 1YT,"63 CAUSEYSIDE STREET, PAISLEY, PA1 1YT",55.841062,-4.423988,exact,Renfrewshire,,,,,Scotland
,WELLMEADOW DENTAL PRACTICE,PA1 2EF,"11 WELLMEADOW STREET, PAISLEY, PA1 2EF",55.844198,-4.434024,exact,Renfrewshire,,,,,Scotland
,HAPPY SMILES RALSTON,PA1 3BH,"356 GLASGOW ROAD, PAISLEY, PA1 3BH",55.846079,-4.378325,exact,Renfrewshire,,,,,Scotland
,KELBURNE DENTAL PRACTICE,PA1 3PD,"49 GLASGOW ROAD, PAISLEY, PA1 3PD",55.847113,-4.40831,exact,Renfrewshire,,,,,Scotland
,COMPLETE DENTISTRY,PA1 3QY,"21/23 GLASGOW ROAD, PAISLEY, PA1 3QY",55.847319,-4.413818,exact,Renfrewshire,,,,,Scotland
,KILBARCHAN DENTAL PRACTICE,PA10 2JN,"7 SHUTTLE STREET, KILBARCHAN, PA10 2JN",55.836661,-4.554361,exact,Renfrewshire,,,,,Scotland
,BRITE DENTAL - BRIDGE OF WEIR,PA11 3AA,"KIRKINNER PLACE, MAIN STREET, BRIDGE OF WEIR, PA11 3AA",55.856182,-4.5768,exact,Renfrewshire,,,,,Scotland
,BLUE WATER DENTAL,PA12 4AB,"69 HIGH STREET, LOCHWINNOCH, PA12 4AB",55.796107,-4.627205,exact,Renfrewshire,,,,,Scotland
,LYNTON HOUSE DENTAL PRACTICE,PA14 5BP,"13A BROWN STREET, PORT GLASGOW, PA14 5BP",55.93494,-4.695398,exact,Inverclyde,,,,,Scotland
,CROSSHILL DENTAL PRACTICE,PA14 5UF,"1 CROSSHILL PLACE, PORT GLASGOW, PA14 5UF",55.924457,-4.665359,exact,Inverclyde,,,,,Scotland
,ORANGEFIELD DENTAL PRACTICE,PA15 1YX,"2 ORANGEFIELD PLACE, GREENOCK, PA15 1YX",55.946722,-4.769612,exact,Inverclyde,,,,,Scotland
,ARDGOWAN DENTAL CARE,PA16 8JJ,"12A UNION STREET, GREENOCK, PA16 8JJ",55.951312,-4.765711,exact,Inverclyde,,,,,Scotland
,FREDERICK DENTAL PRACTICE,PA16 8JL,"11A UNION STREET, GREENOCK, PA16 8JL",55.951504,-4.766798,exact,Inverclyde,,,,,Scotland
,DENTISTRY ON THE CLYDE,PA19 1NA,"24 KEMPOCK STREET, GOUROCK, PA19 1NA",55.962016,-4.81894,exact,Inverclyde,,,,,Scotland
,WEIR&MCCLAFFERTY DENTAL CARE,PA19 1QZ,"GOUROCK MUNICIPAL BUILDINGS, 122 SHORE ST, GOUROCK, PA19 1QZ",55.960406,-4.816211,exact,Inverclyde,,,,,Scotland
,GLENBURN DENTAL PRACTICE,PA2 8EL,"24 SKYE CRESCENT, PAISLEY, PA2 8EL",55.822975,-4.431436,exact,Renfrewshire,,,,,Scotland
,BUTE DENTAL SURGERY,PA20 9AF,"14-16 WEST PRINCES STREET, ROTHESAY, PA20 9AF",55.837343,-5.052598,exact,Argyll and Bute,,,,,Scotland
,THE HOLLIES DENTAL PRACTICE,PA23 8AW,"143 ALEXANDRA PARADE, DUNOON, PA23 8AW",55.955595,-4.917459,exact,Argyll and Bute,,,,,Scotland
,DALRIADA DENTAL PRACTICE,PA28 6LE,"CAMPBELTOWN DENTAL CENTRE,RALSTON RD, CAMPELTOWN, PA28 6LE",55.42141,-5.606792,exact,Argyll and Bute,,,,,Scotland
,SMILE DENTAL CARE LINWOOD,PA3 3DR,"64 BRIDGE STREET, LINWOOD, JOHNSTONE, PA3 3DR",55.849647,-4.490474,exact,Renfrewshire,,,,,Scotland
,OBAN DENTAL CARE,PA34 4HP,"17 LOCHSIDE STREET, OBAN, PA34 4HP",56.410476,-5.470987,exact,Argyll and Bute,,,,,Scotland
,OBAN DENTAL AND IMPLANT CENTRE,PA34 4LQ,"CAWDOR PL., SHORE ST., OBAN, PA34 4LQ",56.410994,-5.475915,exact,Argyll and Bute,,,,,Scotland
,PARKVIEW DENTAL SURGERY,PA4 8LQ,"59A PAISLEY ROAD, RENFREW, PA4 8LQ",55.8734,-4.394591,exact,Renfrewshire,,,,,Scotland
,THE RENFREW DENTAL CENTRE,PA4 8QR,"8 HIGH STREET, RENFREW, PA4 8QR",55.878533,-4.386657,exact,Renfrewshire,,,,,Scotland
,JOHNSTONE DENTAL PRACTICE,PA5 8AB,"10 WALKINSHAW STREET, JOHNSTONE, PA5 8AB",55.836622,-4.508679,exact,Renfrewshire,,,,,Scotland
,PENNEYS DENTAL SURGERY & IMPLANT CENTRE,PA5 8BY,"8 LAIGHCARTSIDE STREET, JOHNSTONE, PA5 8BY",55.836671,-4.506702,exact,Renfrewshire,,,,,Scotland
,CHURCH STREET DENTAL PRACTICE,PA5 8DU,"32 CHURCH STREET, JOHNSTONE, PA5 8DU",55.835723,-4.513956,exact,Renfrewshire,,,,,Scotland
,BRITE DENTAL-HOUSTON,PA6 7HJ,"HILLVIEW, NORTH STREET, HOUSTON, PA6 7HJ",55.870422,-4.547738,exact,Renfrewshire,,,,,Scotland
,SLOAN DENTAL,PA7 5AX,"105 GREENOCK ROAD, BISHOPTON, PA7 5AX",55.905142,-4.499552,exact,Renfrewshire,,,,,Scotland
,MAINS DRIVE DENTAL PRACTICE,PA8 7JQ,"2E MAINS DRIVE, ERSKINE, PA8 7JQ",55.899677,-4.443642,exact,Renfrewshire,,,,,Scotland
,THE DENTAL CLINIC,HS9 5XE,"ST BRENDANS HOSPITAL, CASTLEBAY BARRA, HS9 5XE",56.953469,-7.497306,exact,Na h-Eileanan Siar,,,,,Scotland
,NORTH HARRIS HEALTH HUB,HS3 3BG,"TARBERT, ISLE OF HARRIS, HS3 3BG",57.902065,-6.814201,exact,Na h-Eileanan Siar,,,,,Scotland
,BALHOUSIE DENTAL PRACTICE,PH1 5HJ,"10 BALHOUSIE STREET, PERTH, PH1 5HJ",56.401459,-3.43783,exact,Perth and Kinross,,,,,Scotland
,64 HIGH STREET,PH10 6DF,"BLAIRGOWRIE, PERTHSHIRE, PH10 6DF",56.591503,-3.3402,exact,Perth and Kinross,,,,,Scotland
,COUPAR ANGUS DENTAL CARE,PH13 9AE,"7 UNION STREET, COUPAR ANGUS, PERTHSHIRE, PH13 9AE",56.546485,-3.266164,exact,Perth and Kinross,,,,,Scotland
,ANDERSON DENTISTRY,PH15 2BB,"THE CROWN, 10 BANK STREET, ABERFELDY, PH15 2BB",56.619009,-3.867528,exact,Perth and Kinross,,,,,Scotland
,SCONE DENTAL PRACTICE,PH2 6LR,"12 CROSS STREET, SCONE, PH2 6LR",56.415497,-3.405374,exact,Perth and Kinross,,,,,Scotland
,CALEDONIAN DENTAL CARE,PH2 8EH,"45 YORK PLACE, PERTH, PH2 8EH",56.395736,-3.440093,exact,Perth and Kinross,,,,,Scotland
,THE PERTH DENTAL CENTRE,PH2 8EP,"17-21 YORK PLACE, PERTH, PH2 8EP",56.395513,-3.436829,exact,Perth and Kinross,,,,,Scotland
,4 GRAHAMS PLACE,PH2 8HZ,"KING STREET, PERTH, PH2 8HZ",56.394111,-3.433779,exact,Perth and Kinross,,,,,Scotland
,KINGUSSIE DENTAL,PH21 1EL,"GYNACK STREET, KINGUSSIE, PH21 1EL",57.079473,-4.052234,exact,Highland,,,,,Scotland
,AVIEMORE DENTAL & IMPLANT CLINIC,PH22 1RW,"CRAIG-NA-GOWER AVENUE, AVIEMORE, PH22 1RW",57.194914,-3.831104,exact,Highland,,,,,Scotland
,INFINITYBLU DENTAL CARE,PH7 4BJ,"LAUREL HOUSE, COMRIE ROAD, CRIEFF, PH7 4BJ",56.37678,-3.844723,exact,Perth and Kinross,,,,,Scotland
,INFINITYBLU DENTAL CARE & IMPLANT CLINIC,TD1 3DL,"23 ALBERT PLACE, GALASHIELS, SELKIRKSHIRE, TD1 3DL",55.613819,-2.805795,exact,Scottish Borders,,,,,Scotland
,INFINITYBLU DENTAL CARE & IMPLANT CLINIC,TD11 3AL,"40 MARKET SQUARE, DUNS, BERWICKSHIRE, TD11 3AL",55.777741,-2.34433,exact,Scottish Borders,,,,,Scotland
,OLD TELEPHONE EXCHANGE,TD14 5BU,"UPPER HOUNDLAW, EYEMOUTH, TD14 5BU",55.870814,-2.092186,exact,Scottish Borders,,,,,Scotland
,THE CORN EXCHANGE,TD5 7AT,"31 WOODMARKET, KELSO, TD5 7AT",55.598496,-2.43272,exact,Scottish Borders,,,,,Scotland
,SELKIRK DENTAL PRACTICE,TD7 4DG,"25 WEST PORT, SELKIRK, TD7 4DG",55.546572,-2.842978,exact,Scottish Borders,,,,,Scotland
,CLEARWATER DENTAL,TD8 6AQ,"11 HIGH STREET, JEDBURGH, TD8 6AQ",55.478122,-2.554583,exact,Scottish Borders,,,,,Scotland
,41 NORTH BRIDGE STREET,TD9 9PX,"HAWICK, ROXBURGHSHIRE, TD9 9PX",55.427112,-2.784181,exact,Scottish Borders,,,,,Scotland
,TEVIOT DENTAL PRACTICE,TD9 9QW,"20 NORTH BRIDGE STREET, HAWICK, TD9 9QW",55.426085,-2.784524,exact,Scottish Borders,,,,,Scotland
,BRAE DENTAL CLINIC,ZE2 9QJ,"BRAE HEALTH CENTRE, BRAE, SHETLAND, ZE2 9QJ",60.387632,-1.348753,exact,Shetland Islands,,,,,Scotland
,BANK STREET DENTAL PRACTICE,TD1 1EN,"19 BANK STREET, GALASHIELS, TD1 1EN",55.616298,-2.808577,exact,Scottish Borders,,,,,Scotland
,L&H DENTAL CARE,ML3 6DS,"72 CADZOW STREET, HAMILTON, ML3 6DS",55.776804,-4.036034,exact,South Lanarkshire,,,,,Scotland
,PORTLAND DENTAL PRACTICE,KA1 2BT,"13 PORTLAND ROAD, KILMARNOCK, KA1 2BT",55.608048,-4.501534,exact,East Ayrshire,,,,,Scotland
,BELHAVEN DENTAL SURGERY,PA14 5EY,"SCARLOW HOUSE,2 SCARLOW ST, PORT GLASGOW, PA14 5EY",55.935961,-4.689384,exact,Inverclyde,,,,,Scotland
,OAKLEY DENTAL PRACTICE,KY12 9QH,"THE HEALTH CENTRE, WARDLAW WAY, OAKLEY, KY12 9QH",56.085423,-3.567372,exact,Fife,,,,,Scotland
,SOUTH WEST SMILE CARE CENTRE,DG9 7JF,"34 BRIDGE STREET, STRANRAER, DG9 7JF",54.903913,-5.027204,exact,Dumfries and Galloway,,,,,Scotland
,STIRLING DENTAL PRACTICE,FK8 1HQ,"23 PRINCESS STREET, STIRLING, FK8 1HQ",56.12099,-3.93934,exact,Stirling,,,,,Scotland
,33 POLWARTH GARDENS,EH11 1LA,"EDINBURGH, EH11 1LA",55.936847,-3.219033,exact,City of Edinburgh,,,,,Scotland
,COMPLETE DENTAL CARE,G51 1NB,"253 PAISLEY ROAD WEST, GLASGOW, G51 1NB",55.852001,-4.290252,exact,Glasgow City,,,,,Scotland
,BANFF DENTAL PRACTICE,AB45 1DY,"7A BOYNDIE STREET, BANFF, AB45 1DY",57.664952,-2.524362,exact,Aberdeenshire,,,,,Scotland
,HILLCLOCK DENTAL SURGERY,DD3 7RH,"9-11 MAINS ROAD, DUNDEE, DD3 7RH",56.471399,-2.975664,exact,Dundee City,,,,,Scotland
,T/A FRITHSIDE DENTAL CARE,AB43 9AR,"32-36 FRITHSIDE STREET, FRASERBURGH, AB43 9AR",57.692071,-2.005813,exact,Aberdeenshire,,,,,Scotland
,GIRVAN DENTAL SURGERY,KA26 9BT,"78 DALRYMPLE STREET, GIRVAN, KA26 9BT",55.241042,-4.855534,exact,South Ayrshire,,,,,Scotland
,RENFREW DENTAL STUDIO,PA4 8DA,"156A PAISLEY ROAD, RENFREW, PA4 8DA",55.870622,-4.398752,exact,Renfrewshire,,,,,Scotland
,CHONG KWAN 6A HIGH STR,KY12 7AR,"6A HIGH STREET, DUNFERMLINE, KY12 7AR",56.071296,-3.463598,exact,Fife,,,,,Scotland
,CATHCART DENTAL SURGERY,G42 8AD,"583 CATHCART ROAD, GLASGOW, G42 8AD",55.83548,-4.25635,exact,Glasgow City,,,,,Scotland
,LOCHEE DENTAL CARE,DD2 3AW,"48 HIGH STREET, DUNDEE, DD2 3AW",56.47065,-3.008661,exact,Dundee City,,,,,Scotland
,40 EAST MAIN STREET,EH52 5AE,"BROXBURN, WEST LOTHIAN, EH52 5AE",55.93405,-3.470265,exact,West Lothian,,,,,Scotland
,GREENLAW DENTAL CARE,PA1 3QY,"25 GLASGOW ROAD, PAISLEY, PA1 3QY",55.847319,-4.413818,exact,Renfrewshire,,,,,Scotland
,THE BALFOUR,KW15 1NZ,"FORELAND ROAD, KIRKWALL, KW15 1NZ",58.973685,-2.965433,exact,Orkney Islands,,,,,Scotland
,MF DENTALCARE,ML6 7AY,"243 FORREST STREET, AIRDRIE, ML6 7AY",55.870668,-3.946369,exact,North Lanarkshire,,,,,Scotland
,26-28 MAIN STREET,EH4 5BY,"DAVIDSON MAINS, EDINBURGH, EH4 5BY",55.96528,-3.273611,exact,City of Edinburgh,,,,,Scotland
,PALMER MCA & ASSOCIATES,AB10 1XE,"19 RUBISLAW TERRACE, ABERDEEN, AB10 1XE",57.1435,-2.117546,exact,Aberdeen City,,,,,Scotland
,K M DENTAL CARE,G51 4BJ,"5 DRUMOYNE ROAD, GLASGOW, G51 4BJ",55.860354,-4.326476,exact,Glasgow City,,,,,Scotland
,LINKS DENTAL PRACTICE,EH9 1AT,"101-103 WHITEHOUSE LOAN, EDINBURGH, EH9 1AT",55.935657,-3.201099,exact,City of Edinburgh,,,,,Scotland
,TARBERT DENTAL,PA29 6UB,"HARBOUR STREET, TARBERT, PA29 6UB",55.863244,-5.413489,exact,Argyll and Bute,,,,,Scotland
,KILCOYNE DENTAL CARE,ML3 0BP,"27 DOUGLAS STREET, HAMILTON, ML3 0BP",55.780005,-4.052689,exact,South Lanarkshire,,,,,Scotland
,GLASGOW SMILE CLINIC,G3 8LU,"950 ARGYLE STREET, GLASGOW, G3 8LU",55.863628,-4.28026,exact,Glasgow City,,,,,Scotland
,STATION DENTAL PRACTICE,ML7 4BJ,"133 STATION ROAD, SHOTTS, ML7 4BJ",55.818923,-3.798833,exact,North Lanarkshire,,,,,Scotland
,BANKHOUSE DENTAL CARE,ML6 6LF,"17 EAST HIGH STREET, AIRDRIE, ML6 6LF",55.868665,-3.981782,exact,North Lanarkshire,,,,,Scotland
,3/4  OCHILVIEW SQUARE,EH48 3EP,"ARMADALE, WEST LOTHIAN, EH48 3EP",55.897744,-3.699448,exact,West Lothian,,,,,Scotland
,SHETTLESTON DENTAL SURGERY,G32 7PG,"1224 SHETTLESTON ROAD, GLASGOW, G32 7PG",55.851425,-4.165825,exact,Glasgow City,,,,,Scotland
,GLENCOE DENTAL CENTRE,PH49 4HP,"LORN DRIVE, GLENCOE, PH49 4HP",56.683051,-5.105724,exact,Highland,,,,,Scotland
,N. J. ROLFE & ASSOCIATES LTD,G76 7HB,"139 EASTWOODMAINS ROAD, CLARKSTON, GLASGOW, G76 7HB",55.790968,-4.278628,exact,East Renfrewshire,,,,,Scotland
,ORMLIE HILL DENTAL CLINIC,KW14 7DY,"ORMLIE HILL, THURSO, KW14 7DY",58.589101,-3.536645,exact,Highland,,,,,Scotland
,INSHES DENTAL CENTRE,IV2 5WD,"3 CRADLEHALL COURT, INVERNESS, IV2 5WD",57.472844,-4.163476,exact,Highland,,,,,Scotland
,BARNTON DENTAL SPA,EH4 7NS,"1B PARKGROVE STREET, EDINBURGH, EH4 7NS",55.960715,-3.289271,exact,City of Edinburgh,,,,,Scotland
,17 MAIN STREET,EH29 9AE,"KIRKLISTON, WEST LOTHIAN, EH29 9AE",55.956293,-3.402859,exact,City of Edinburgh,,,,,Scotland
,THE MANOR DENTAL,FK10 2RJ,"6 MANOR CRESCENT, TULLIBODY, FK10 2RJ",56.132883,-3.835614,exact,Clackmannanshire,,,,,Scotland
,CARDEN PLACE DENTAL PRACTICE,AB10 1UP,"32 CARDEN PLACE, ABERDEEN, AB10 1UP",57.144106,-2.123365,exact,Aberdeen City,,,,,Scotland
,"UNIT 4, 8 SPRINGFIELD COURT",EH49 7TQ,"LINLITHGOW, WEST LOTHIAN, EH49 7TQ",55.980456,-3.574728,exact,West Lothian,,,,,Scotland
,35 WEST MAIN STREET,EH52 5RQ,"BROXBURN, WEST LOTHIAN, EH52 5RQ",55.93397,-3.472439,exact,West Lothian,,,,,Scotland
,WHITEMOSS DENTAL,G74 4JB,"27 WHITEMOSS ROAD, THE VILLAGE, EAST KILBRIDE, G74 4JB",55.763758,-4.169648,exact,South Lanarkshire,,,,,Scotland
,HUTCHESON JPS & ASSOCIATES,AB25 2XT,"230 ROSEMOUNT PLACE, ABERDEEN, AB25 2XT",57.149669,-2.120442,exact,Aberdeen City,,,,,Scotland
,COMMONWEALTH DENTAL PRACTICE,G31 1RE,"362/364 DUKE STREET, DENNISTOUN, GLASGOW, G31 1RE",55.858211,-4.219189,exact,Glasgow City,,,,,Scotland
,NEIL GORDON & ASSOCIATES,ML3 7QN,"237 LOW WATERS ROAD, HAMILTON, ML3 7QN",55.760816,-4.045225,exact,South Lanarkshire,,,,,Scotland
,NEWYEARFIELD  DENTAL CENTRE,EH54 6TW,"HAWK BRAE, LIVINGSTON, EH54 6TW",55.898631,-3.532658,exact,West Lothian,,,,,Scotland
,SCOBIE & WALKER DENTAL,ML2 7LP,"LEVEL 4, HOULDSWORTH CENTRE, WISHAW, ML2 7LP",55.774969,-3.920564,exact,North Lanarkshire,,,,,Scotland
,CLARK DENTAL CLINIC LTD,AB43 9HX,"52 HANOVER STREET, FRASERBURGH, AB43 9HX",57.693382,-2.01046,exact,Aberdeenshire,,,,,Scotland
,MOODIESBURN DENTAL CARE,G69 0EN,"14 BLACKWOODS CRESCENT, MOODIESBURN, G69 0EN",55.913859,-4.083538,exact,North Lanarkshire,,,,,Scotland
,ANDERSSON DENTAL CARE,KA7 1UB,"14B FULLARTON STREET, AYR, KA7 1UB",55.461407,-4.633697,exact,South Ayrshire,,,,,Scotland
,ALLANDER DENTAL CARE,G62 6BW,"7 STEWART STREET, MILNGAVIE, GLASGOW, G62 6BW",55.940053,-4.318474,exact,East Dunbartonshire,,,,,Scotland
,26 UNION STREET (DOWNSTAIRS),DD1 4BE,"DUNDEE, DD1 4BE",56.458995,-2.970607,exact,Dundee City,,,,,Scotland
,WOODHILL DENTAL CARE,G64 1DH,"176 WOODHILL ROAD, BISHOPBRIGGS, GLASGOW, G64 1DH",55.907078,-4.206526,exact,East Dunbartonshire,,,,,Scotland
,SOUTHSIDE PRIVATE ORAL SURGERY,IV2 3BG,"28 SOUTHSIDE ROAD, INVERNESS, IV2 3BG",57.474344,-4.217787,exact,Highland,,,,,Scotland
,CAMPBELL & GIBSON DENTAL AND IMPLANT CEN,EH39 4JF,"19 MARKET PLACE, NORTH BERWICK, EH39 4JF",56.058687,-2.719506,exact,East Lothian,,,,,Scotland
,GENTLE DENTAL CARE,KY12 7NT,"32 CANMORE STREET, DUNFERMLINE, KY12 7NT",56.07036,-3.459225,exact,Fife,,,,,Scotland
,IRELAND&YUILL FAMILY DENTAL PRACTICE,G76 7AT,"62 BUSBY ROAD, CLARKSTON, GLASGOW, G76 7AT",55.78873,-4.276201,exact,East Renfrewshire,,,,,Scotland
,BUPA DENTAL CARE,G11 6TG,"356 DUMBARTON ROAD, PARTICK, GLASGOW, G11 6TG",55.870906,-4.306886,exact,Glasgow City,,,,,Scotland
,HILTON DENTAL PRACTICE,AB24 4QX,"2 HILTON STREET, ABERDEEN, AB24 4QX",57.164176,-2.120554,exact,Aberdeen City,,,,,Scotland
,BEARSDEN DENTAL CARE,G61 4JJ,"8-12 LEDI DRIVE, BEARSDEN, GLASGOW, G61 4JJ",55.926394,-4.351532,exact,East Dunbartonshire,,,,,Scotland
,28 ANNANDALE STREET,EH7 4AN,"EDINBURGH, EH7 4AN",55.960299,-3.183955,exact,City of Edinburgh,,,,,Scotland
,AIRTHREY PARK DENTAL CENTRE,FK9 4LA,"HERMITAGE ROAD, STIRLING, FK9 4LA",56.145457,-3.920015,exact,Stirling,,,,,Scotland
,THE WEST WING,KY12 7NH,"32 MAYGATE, DUNFERMLINE, KY12 7NH",56.070789,-3.463225,exact,Fife,,,,,Scotland
,HOLBURN DENTAL CARE,AB10 7JQ,"616 HOLBURN STREET, ABERDEEN, AB10 7JQ",57.124947,-2.121056,exact,Aberdeen City,,,,,Scotland
,FRESH DENTAL & COSMETIC STUDIO,G13 1HN,"1555 GREAT WESTERN ROAD, GLASGOW, G13 1HN",55.889013,-4.322754,exact,Glasgow City,,,,,Scotland
,176-178 ST JOHN'S ROAD,EH12 8BE,"EDINBURGH, EH12 8BE",55.943499,-3.288363,exact,City of Edinburgh,,,,,Scotland
,INFINITYBLU DENTAL CARE & IMPLANT CLINIC,EH45 9EN,"7 KINGSMEADOWS ROAD, PEEBLES, EH45 9EN",55.649106,-3.190132,exact,Scottish Borders,,,,,Scotland
,IVY COTTAGE DENTAL SURGERY,PA16 0AU,"MAIN STREET, INVERKIP, PA16 0AU",55.908201,-4.871809,exact,Inverclyde,,,,,Scotland
,IAN ROBERTSON DENTAL CARE,DD11 1NG,"10 BROTHOCK BRIDGE, ARBROATH, DD11 1NG",56.558399,-2.584087,exact,Angus,,,,,Scotland
